"metropolitan_area","rate","rank","year"
"San Antonio-New Braunfels, TX Metropolitan Statistical Area",3.5,10,"lg_2"
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",3.6,12,"lg_2"
"St. Louis, MO-IL Metropolitan Statistical Area(1)",3.7,13,"lg_2"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",3.7,13,"lg_2"
"Kansas City, MO-KS Metropolitan Statistical Area",3.8,15,"lg_2"
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",3.8,15,"lg_2"
"Jacksonville, FL Metropolitan Statistical Area",3.9,17,"lg_2"
"Oklahoma City, OK Metropolitan Statistical Area",3.9,17,"lg_2"
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",3.9,17,"lg_2"
"Richmond, VA Metropolitan Statistical Area",3.9,17,"lg_2"
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",3.9,17,"lg_2"
"Birmingham-Hoover, AL Metropolitan Statistical Area",4,22,"lg_2"
"Raleigh, NC Metropolitan Statistical Area",4,22,"lg_2"
"San Diego-Carlsbad, CA Metropolitan Statistical Area",4,22,"lg_2"
"Columbus, OH Metropolitan Statistical Area",4.1,25,"lg_2"
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",4.1,25,"lg_2"
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",4.1,25,"lg_2"
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",4.2,28,"lg_2"
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",4.2,28,"lg_2"
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",4.3,30,"lg_2"
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",4.3,30,"lg_2"
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",4.3,30,"lg_2"
"Memphis, TN-MS-AR Metropolitan Statistical Area",4.3,30,"lg_2"
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",4.3,30,"lg_2"
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",4.4,35,"lg_2"
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",4.4,35,"lg_2"
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",4.5,37,"lg_2"
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",4.5,37,"lg_2"
"Providence-Warwick, RI-MA Metropolitan NECTA",4.5,37,"lg_2"
"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",4.5,37,"lg_2"
"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",4.7,41,"lg_2"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",4.7,41,"lg_2"
"New Orleans-Metairie, LA Metropolitan Statistical Area",4.8,43,"lg_2"
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",4.9,44,"lg_2"
"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",5,45,"lg_2"
"Pittsburgh, PA Metropolitan Statistical Area",5,45,"lg_2"
"Rochester, NY Metropolitan Statistical Area",5,45,"lg_2"
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",5.1,48,"lg_2"
"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",5.2,49,"lg_2"
"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",5.4,50,"lg_2"
"Cleveland-Elyria, OH Metropolitan Statistical Area",5.7,51,"lg_2"
