"metropolitan_area","rate","rank","year"
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",7.9,258,"2013"
"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",7.9,258,"2013"
"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area",8,266,"2013"
"Eugene, OR Metropolitan Statistical Area",8,266,"2013"
"Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area",8,266,"2013"
"Hammond, LA Metropolitan Statistical Area",8,266,"2013"
"Johnson City, TN Metropolitan Statistical Area",8,266,"2013"
"New Haven, CT Metropolitan NECTA",8,266,"2013"
"Punta Gorda, FL Metropolitan Statistical Area",8,266,"2013"
"Savannah, GA Metropolitan Statistical Area",8,266,"2013"
"Spartanburg, SC Metropolitan Statistical Area",8,266,"2013"
"Valdosta, GA Metropolitan Statistical Area",8,266,"2013"
"Warner Robins, GA Metropolitan Statistical Area",8,266,"2013"
"Barnstable Town, MA Metropolitan NECTA",8.1,277,"2013"
"Clarksville, TN-KY Metropolitan Statistical Area",8.1,277,"2013"
"Flagstaff, AZ Metropolitan Statistical Area",8.1,277,"2013"
"Greenville, NC Metropolitan Statistical Area",8.1,277,"2013"
"Kokomo, IN Metropolitan Statistical Area",8.1,277,"2013"
"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",8.2,282,"2013"
"Jackson, TN Metropolitan Statistical Area",8.2,282,"2013"
"Lakeland-Winter Haven, FL Metropolitan Statistical Area",8.2,282,"2013"
"Toledo, OH Metropolitan Statistical Area",8.2,282,"2013"
"Cumberland, MD-WV Metropolitan Statistical Area",8.3,286,"2013"
"Jackson, MI Metropolitan Statistical Area",8.3,286,"2013"
"Leominster-Gardner, MA Metropolitan NECTA",8.3,286,"2013"
"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",8.3,286,"2013"
"Racine, WI Metropolitan Statistical Area",8.3,286,"2013"
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",8.4,291,"2013"
"Hinesville, GA Metropolitan Statistical Area",8.4,291,"2013"
"Salisbury, MD-DE Metropolitan Statistical Area",8.4,291,"2013"
"Spokane-Spokane Valley, WA Metropolitan Statistical Area",8.4,291,"2013"
"Carbondale-Marion, IL Metropolitan Statistical Area",8.5,295,"2013"
"Greensboro-High Point, NC Metropolitan Statistical Area",8.5,295,"2013"
"Memphis, TN-MS-AR Metropolitan Statistical Area",8.5,295,"2013"
"Mobile, AL Metropolitan Statistical Area",8.5,295,"2013"
"Norwich-New London-Westerly, CT-RI Metropolitan NECTA",8.5,295,"2013"
"Ocala, FL Metropolitan Statistical Area",8.5,295,"2013"
"Columbus, GA-AL Metropolitan Statistical Area",8.6,301,"2013"
"Florence, SC Metropolitan Statistical Area",8.6,301,"2013"
"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",8.6,301,"2013"
"Mansfield, OH Metropolitan Statistical Area",8.6,301,"2013"
"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",8.6,301,"2013"
"Muncie, IN Metropolitan Statistical Area",8.6,301,"2013"
"New Bern, NC Metropolitan Statistical Area",8.6,301,"2013"
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",8.6,301,"2013"
"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",8.6,301,"2013"
"Bay City, MI Metropolitan Statistical Area",8.7,310,"2013"
"Grand Junction, CO Metropolitan Statistical Area",8.7,310,"2013"
"Johnstown, PA Metropolitan Statistical Area",8.7,310,"2013"
"Niles-Benton Harbor, MI Metropolitan Statistical Area",8.7,310,"2013"
"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",8.7,310,"2013"
"Salem, OR Metropolitan Statistical Area",8.7,310,"2013"
"Sumter, SC Metropolitan Statistical Area",8.7,310,"2013"
"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",8.8,317,"2013"
"Brunswick, GA Metropolitan Statistical Area",8.8,317,"2013"
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",8.9,319,"2013"
"Scranton--Wilkes-Barre--Hazleton, PA Metropolitan Statistical Area",8.9,319,"2013"
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",9,321,"2013"
"Macon-Bibb County, GA Metropolitan Statistical Area",9,321,"2013"
"Peoria, IL Metropolitan Statistical Area",9,321,"2013"
"Port St. Lucie, FL Metropolitan Statistical Area",9,321,"2013"
"Providence-Warwick, RI-MA Metropolitan NECTA",9,321,"2013"
"Saginaw, MI Metropolitan Statistical Area",9,321,"2013"
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",9.1,327,"2013"
"Kennewick-Richland, WA Metropolitan Statistical Area",9.1,327,"2013"
"Morristown, TN Metropolitan Statistical Area",9.1,327,"2013"
"Vallejo-Fairfield, CA Metropolitan Statistical Area",9.1,327,"2013"
"Sierra Vista-Douglas, AZ Metropolitan Statistical Area",9.2,331,"2013"
"Watertown-Fort Drum, NY Metropolitan Statistical Area",9.2,331,"2013"
"Michigan City-La Porte, IN Metropolitan Statistical Area",9.3,333,"2013"
"The Villages, FL Metropolitan Statistical Area",9.3,333,"2013"
"Albany, GA Metropolitan Statistical Area",9.4,335,"2013"
"East Stroudsburg, PA Metropolitan Statistical Area",9.4,335,"2013"
"Terre Haute, IN Metropolitan Statistical Area",9.4,335,"2013"
"Bend-Redmond, OR Metropolitan Statistical Area",9.5,338,"2013"
"Reno, NV Metropolitan Statistical Area",9.5,338,"2013"
"Rome, GA Metropolitan Statistical Area",9.5,338,"2013"
"Sebring, FL Metropolitan Statistical Area",9.5,338,"2013"
"Sebastian-Vero Beach, FL Metropolitan Statistical Area",9.6,342,"2013"
"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",9.6,342,"2013"
"Albany, OR Metropolitan Statistical Area",9.7,344,"2013"
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",9.7,344,"2013"
"Fayetteville, NC Metropolitan Statistical Area",9.7,344,"2013"
"Flint, MI Metropolitan Statistical Area",9.7,344,"2013"
"Homosassa Springs, FL Metropolitan Statistical Area",9.7,344,"2013"
"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",9.7,344,"2013"
"Medford, OR Metropolitan Statistical Area",9.7,344,"2013"
"Waterbury, CT Metropolitan NECTA",9.7,344,"2013"
"Longview, WA Metropolitan Statistical Area",9.8,352,"2013"
"Pine Bluff, AR Metropolitan Statistical Area",9.8,352,"2013"
"Pueblo, CO Metropolitan Statistical Area",9.8,352,"2013"
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",9.8,352,"2013"
"Muskegon, MI Metropolitan Statistical Area",9.9,356,"2013"
"Brownsville-Harlingen, TX Metropolitan Statistical Area",10,357,"2013"
"Dalton, GA Metropolitan Statistical Area",10,357,"2013"
"Yakima, WA Metropolitan Statistical Area",10,357,"2013"
"Chico, CA Metropolitan Statistical Area",10.3,360,"2013"
"Kankakee, IL Metropolitan Statistical Area",10.3,360,"2013"
"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",10.3,360,"2013"
"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",10.3,360,"2013"
"Salinas, CA Metropolitan Statistical Area",10.3,360,"2013"
"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",10.3,360,"2013"
"Beaumont-Port Arthur, TX Metropolitan Statistical Area",10.4,366,"2013"
"Carson City, NV Metropolitan Statistical Area",10.4,366,"2013"
"Rockford, IL Metropolitan Statistical Area",10.4,366,"2013"
"New Bedford, MA Metropolitan NECTA",10.5,369,"2013"
"Danville, IL Metropolitan Statistical Area",10.6,370,"2013"
"Grants Pass, OR Metropolitan Statistical Area",11.1,371,"2013"
"Decatur, IL Metropolitan Statistical Area",11.3,372,"2013"
"Rocky Mount, NC Metropolitan Statistical Area",11.3,372,"2013"
"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",11.7,374,"2013"
"Bakersfield, CA Metropolitan Statistical Area",11.7,374,"2013"
"Redding, CA Metropolitan Statistical Area",11.8,376,"2013"
"Vineland-Bridgeton, NJ Metropolitan Statistical Area",11.8,376,"2013"
"Stockton-Lodi, CA Metropolitan Statistical Area",12.3,378,"2013"
"Madera, CA Metropolitan Statistical Area",12.6,379,"2013"
"Modesto, CA Metropolitan Statistical Area",12.9,380,"2013"
"Fresno, CA Metropolitan Statistical Area",13.3,381,"2013"
"Hanford-Corcoran, CA Metropolitan Statistical Area",13.4,382,"2013"
"Yuba City, CA Metropolitan Statistical Area",14.1,383,"2013"
"Ocean City, NJ Metropolitan Statistical Area",14.3,384,"2013"
"Visalia-Porterville, CA Metropolitan Statistical Area",14.4,385,"2013"
"Merced, CA Metropolitan Statistical Area",14.5,386,"2013"
"El Centro, CA Metropolitan Statistical Area",25,387,"2013"
